,기준일시,일 평균 풍속 (m/s),일 풍정 (m),최대풍향,최대풍속 (m/s),최대순간풍향,최대순간풍속 (m/s),일 평균기온 (C),최고기온 (C),최저기온 (C),일 평균 이슬점온도 (C),일 평균 지면온도 (C),일 최저 초상온도 (C),일 평균 상대습도 (%),최저습도 (%),일 평균 수증기압 (hPa),소형 증발량 (mm),대형 증발량 (mm),안개계속시간 (hr),일 평균 현지기압 (hPa),일 평균 해면기압 (hPa),최고 해면기압 (hPa),최고 해면기압 시각 (시분),최저 해면기압 (hPa),일 평균 전운량 (1/10),일조합 (hr),가조시간 (hr),캄벨 일조 (hr),일사합 (MJ/m2),최대 1시간일사 (MJ/m2),최대 1시간일사 시각 (시분),일 강수량 (mm),9-9 강수량 (mm),강수계속시간 (hr),1시간 최다강수량 (mm),1시간 최다강수량 시각 (시분),10분간 최다강수량 (mm),10분간 최다강수량 시각 (시분),최대 강우강도 (mm/h),최대 강우강도 시각 (시분),최심 신적설 (cm),최심 신적설 시각 (시분),최심 적설 (cm),최심 적설 시각 (시분),0.5m 지중온도 (C) ,1.0m 지중온도 (C),1.5m 지중온도 (C),3.0m 지중온도 (C),5.0m 지중온도 (C)
0,2012-01-01,2.813978494623656,2432.4086021505377,28.849462365591396,7.233333333333333,29.548387096774192,12.479569892473117,-0.15483870967741936,3.9698924731182794,-4.338709677419355,-6.060215053763441,0.06989247311827956,-6.802150537634409,65.68494623655914,47.72043010752688,4.027956989247312,1.28,,,1010.1462365591399,1023.7247311827956,1025.7956989247311,1636.1397849462367,1020.752688172043,6.76,1.9559139784946238,9.76086956521739,,4.996756756756756,1.1118918918918919,1194.5945945945946,0.5985915492957746,0.8722222222222222,3.6957142857142857,,-9.0,,-9.0,,,1.2857142857142858,1804.4285714285713,3.1133333333333337,1684.2,4.55,8.245000000000001,11.084615384615384,15.96923076923077,17.36923076923077
1,2012-01-02,2.0387096774193547,1758.0,25.43010752688172,4.879569892473119,25.311827956989248,7.946236559139785,-2.563440860215054,2.713978494623656,-7.195698924731183,-8.906451612903226,-1.1623655913978495,-9.61505376344086,63.88602150537634,43.26881720430107,3.2053763440860217,1.4300000000000002,,1.83,1012.058064516129,1025.8129032258066,1028.3774193548388,887.0215053763441,1023.7268817204301,4.61,5.92258064516129,9.76304347826087,,8.830270270270269,1.6683783783783783,1189.1891891891892,0.4875,2.3,5.59,,-9.0,,-9.0,,,0.525,327.5,2.85,82.625,4.404999999999999,8.105,10.86923076923077,15.846153846153847,17.346153846153847
2,2012-01-03,2.475268817204301,2134.8172043010754,28.086021505376344,6.156989247311828,29.268817204301076,10.56236559139785,-1.7440860215053762,2.9193548387096775,-5.7,-7.567741935483871,-1.0365591397849463,-8.278494623655913,66.74731182795699,43.61290322580645,3.59247311827957,1.125,,,1007.8376344086021,1021.4795698924731,1024.4494623655914,322.13978494623655,1018.4344086021505,6.94,2.982795698924731,9.779347826086957,,6.312702702702703,1.3424324324324324,1181.081081081081,1.1095890410958904,2.426315789473684,5.602857142857142,,-9.0,,-9.0,,,2.348275862068965,2128.448275862069,3.3366666666666664,2002.5666666666666,4.41,8.065000000000001,10.784615384615384,15.76923076923077,17.338461538461537
3,2012-01-04,3.5741935483870964,3085.7526881720432,27.817204301075268,6.586021505376344,28.387096774193548,11.406451612903226,-3.782795698924731,-0.7537634408602152,-6.348387096774193,-10.86021505376344,-1.4118279569892473,-7.982795698924731,60.17741935483871,42.666666666666664,2.8193548387096774,1.25,,,1011.0064516129033,1024.8075268817206,1027.8580645161292,2272.0752688172042,1020.6806451612904,4.57,5.798924731182796,9.78804347826087,,8.527567567567568,1.5421621621621622,1221.6216216216217,1.77,0.95,9.710416666666667,,-9.0,,-9.0,,,4.796,986.08,6.033333333333333,729.3333333333334,4.385,7.925,10.738461538461538,15.715384615384615,17.3
4,2012-01-05,2.2559139784946236,1952.989247311828,26.462365591397848,4.995698924731183,25.182795698924732,8.372043010752689,-3.841935483870968,1.7559139784946238,-8.43763440860215,-11.495698924731181,-1.8612903225806452,-10.663440860215054,58.64408602150537,36.204301075268816,2.6881720430107525,1.52,,,1014.8602150537635,1028.720430107527,1030.5881720430107,958.4731182795699,1026.7548387096774,2.705,7.397849462365591,9.803260869565218,,10.712162162162162,1.8710810810810812,1197.2972972972973,0.5105263157894736,0.5875,3.5446153846153843,,-9.0,,-9.0,,,1.3857142857142857,305.0,6.681818181818182,93.13636363636364,4.135,7.815,10.600000000000001,15.661538461538461,17.307692307692307
5,2012-01-06,1.8494623655913978,1597.0645161290322,26.247311827956988,4.704301075268817,25.526881720430108,7.698924731182796,-2.47741935483871,3.7838709677419353,-7.668817204301075,-10.088172043010752,-1.4881720430107528,-10.351612903225806,58.45483870967742,36.56989247311828,2.956989247311828,1.5050000000000001,,,1017.0440860215054,1030.8612903225805,1033.6903225806452,2325.537634408602,1028.3688172043012,3.13,7.049462365591398,9.816304347826087,,9.51945945945946,1.7332432432432432,1191.8918918918919,0.9357142857142858,12.8,2.607,,-9.0,,-9.0,,,6.8,1500.0,7.046153846153847,223.92307692307693,3.96,7.705,10.484615384615385,15.569230769230769,17.276923076923076
6,2012-01-07,1.4774193548387098,1276.784946236559,22.806451612903224,3.7053763440860217,24.182795698924732,5.835483870967742,-3.143010752688172,4.079569892473118,-8.598924731182796,-10.896774193548387,-2.024731182795699,-11.631182795698924,58.81075268817204,28.688172043010752,2.7655913978494624,1.5450000000000002,,,1020.8129032258064,1034.7387096774194,1037.074193548387,973.7096774193549,1032.8698924731182,0.78,8.36236559139785,9.831521739130435,,11.544054054054055,1.9756756756756755,1186.4864864864865,0.3,0.5,6.92,,-9.0,,-9.0,,,0.3,1100.0,8.477777777777778,1.0,3.8950000000000005,7.609999999999999,10.36923076923077,15.507692307692308,17.246153846153845
7,2012-01-08,1.6946236559139785,1465.0645161290322,26.774193548387096,4.58494623655914,26.698924731182796,7.519354838709677,-1.5978494623655914,4.855913978494624,-7.888172043010753,-10.55268817204301,-1.460215053763441,-10.762365591397849,55.93978494623656,26.182795698924732,2.910752688172043,1.3199999999999998,,,1017.5376344086021,1031.3172043010752,1034.3387096774193,371.2258064516129,1028.4290322580644,4.3774999999999995,5.297849462365591,9.85108695652174,,9.096756756756756,1.6856756756756759,1181.081081081081,0.3,0.15,3.75,,-9.0,,-9.0,,,0.1,330.0,10.799999999999999,1.0,3.7950000000000004,7.49,10.215384615384616,15.36923076923077,17.23076923076923
8,2012-01-09,1.9408602150537635,1679.978494623656,26.29032258064516,4.6967741935483875,25.06451612903226,7.831182795698925,0.321505376344086,5.032258064516129,-3.6698924731182796,-6.520430107526882,-0.12688172043010754,-7.409677419354839,62.111827956989245,42.24731182795699,3.832258064516129,1.435,,,1015.8505376344086,1029.4817204301075,1031.5623655913978,974.1182795698925,1027.3354838709677,4.5,5.130107526881721,9.859782608695653,,8.20864864864865,1.5040540540540541,1208.1081081081081,0.0,0.0,1.0,,-9.0,,-9.0,,,,,8.933333333333332,1.0,3.815,7.415000000000001,10.161538461538461,15.353846153846153,17.215384615384615
9,2012-01-10,2.261290322580645,1955.5483870967741,27.408602150537636,5.310752688172043,27.537634408602152,8.6752688172043,0.11935483870967742,4.641935483870967,-3.624731182795699,-8.626881720430108,-0.21290322580645163,-7.186021505376344,54.99247311827957,31.731182795698924,3.3268817204301073,1.73,,1.75,1013.5419354838709,1027.1741935483872,1029.0387096774193,474.44086021505376,1024.8526881720431,4.1725,6.702150537634408,9.877173913043478,,9.621081081081082,1.733783783783784,1205.4054054054054,0.0,3.025,0.55,,-9.0,,-9.0,,,,,12.25,1.0,3.775,7.265000000000001,10.076923076923077,15.2,17.2
